Positive,Negative
"We identified a putative oncogenic miRNA, miR-21, whose expression is correlated with HER2/neu up-regulation  and  is  functionally  involved  in  HER2/neu-induced cell invasion.",Our studies further revealed that the c-Src/STAT3 signaling pathway was involved in miR-27b-3p-ROR1-mediated cell proliferation regulation.
"In conclusion, we demonstrate that over-expression of let-7a elevates p21WAF1 protein level by targeting of NIRF in lung cancer.",BACKGROUND: The existence of cancer stem cells in hepatocellular carcinoma (HCC) has been verified by characterizing side population (SP) cells based on efflux of Hoechst 33342 dye from stem cells.
Our finding that miR132 targets the p250GAP MRE in a heterologous reporter system and that an intact seed sequence is required for miR132-mediated repression suggests that p250GAP is a direct miR132 target,We found that introduction of HMGA2 overexpression was sufficient to induce OSE transformation in vitro.
"By computational  prediction  and  microarray  studies,  SET  (protein  phosphatase  2A  inhibitor)  was shown to be one of the target genes regulated by miR-199b.","In this study, we demonstrate the critical role of miR-155 in regulation of cell survival and chemosensitivity through down-regulation of FOXO3a in breast cancer."
Our results showed that miR-224 specifically interacted with the 3'-UTR of API-5 to inhibit reporter activity because no inhibition of reporter activity was observed when the miR-224-binding sites in API-5 3'-UTR was mutated (Fig.3D).,"Thus, there is an urgent need to identify and characterize aberrantly expressed miRNAs in HCC."
These facts suggested  that  miR-9  may  bind  directly  to  the  3 UTR of   NF-kB  mRNA   and   repress   gene   expression.These data highlight the prediction that NF-jB1 is a direct target for miR-9.,"However, the mechanisms for miR-21 upregulation and its role in chemo-resistance in TC remain unclear."
MiR-24 targeted the 3'-UTR of hALK4 mRNA,"MDM4 mRNA contains a lengthy 3' untranslated region; however, we find that it is a miR-34a site within the open reading frame (ORF) of exon 11 that is responsible for the repression."
The dendritic microRNA miR-26a targets the dendritic mRNA MAP2,"Here, we investigated the role of miR-9 in non-small-cell lung cancer (NSCLC) cell invasion and adhesion in vitro and explored whether miR-9 was involved in transforming growth factor-beta 1 (TGF-β1)-induced NSCLC cell invasion and adhesion by targeting SOX7."
"These data convincingly support the hypothesis that GY-boxes are general signatures of miR-7-binding sites in Notch target genes, irrespective of the overall amount of pairing between miR-7 and sequences outside of the GY-box.",RT-qPCR showed a markedly higher expression level of miR-141-3p in EC tissues than in non-EC endometrium tissues (P < 0.0001).
VEGF-A is a potential target of miRNA-205 in glioma cells.,Pre-reproductive stress (PRS) to adolescent female rats alters anxiogenic behavior in first (F1)- and second-generation (F2) offspring and increases mRNA expression of corticotropin-releasing factor receptor type 1 (Crhr1) in oocytes and in neonate offspring brain.
IMP-1 is a direct target of let-7.,The low expression of miR-485-5p in gastric cancer tissues was related to advanced clinical features and poorer prognosis.
"Indeed, miR-92a overexpression reduced luciferase activity (Fig.4C), which strongly suggests that ITGA5 mRNA is a direct target of miR-92a.","Introduction of miR-1826 also inhibited renal cancer cell proliferation, invasion and migration."
The  transcription factor  Pu.1  is  validated  as  a  direct  target  of miR155-mediated inhibition,We then cloned 51 of 58 predicted microRNA precursors into pCDH-CMV-MCS-EF1-copGFP and tested for their effect on the luciferase reporter carrying the 3'-untranslated region (UTR) of CCND1 gene.
"Our results show that all three predicted regulated genes in humans(and pre-validated in mouse [Esau et al. 2006]), Aldolase A,  CAT-1,  and  GYS1,  are  targets  for  miR-122  negative regulation.",MicroRNAs (miRNAs) are small regulatory molecules that function at a post-transcriptional level by targeting the 3'UTR in a reverse complementary manner.
"Of the circadian transcripts up-regulated in 122ASO mice, we found that the 3'UTRs of Rell1, Smarcd1/Baf60a, Ddc, Hist1h1c, Dscr1, Tgfbr1, Mir16, and Sbk1 conferred sensitivity toward miR-122 (Fig.4B).",MiR-200b was highly expressed in TGFBRII-null tumour tissues and colorectal cancer cell lines and positively correlated with cell proliferation in tumour tissues and cell lines.
"Interestingly, in Arabidopsis and other plants, three additional microRNA families, miR397, miR408, and miR857, are predicted to target the transcripts for the copper protein plantacyanin and members of the laccase copper protein family.",Knocking-down of endothelial endogenous miR-126 did not affect EGFL7 expression at mRNA or protein level.
Our results show that the cellular miRNA hsa-miR29a downregulates the expression of Nef protein and interferes with HIV-1 replication.,"Here, we show that miR-206 is expressed at markedly low levels in a cohort of gastric tumors compared to their matching normal tissues, and in a number of gastric cancer cell lines."
"let-7e  suppressed whereas as-let-7e enhanced luciferase expression and activity, thereby showing a direct interaction between let-7e and the 3UTR of TLR4 (Figure 4C).","Previously, we reported that HBx was able to promote the migration of hepatoma HepG2 cells."
miR-155 suppressed whereas as-miR-155 enhanced luciferase expression and activity and that mutation of the seed sequence for miR-155 at the 3UTR of SOCS1 (mutSOCS1-UTR-luc) abolished the suppression (Figure 4F).,These findings indicate that the miRNAs 143 and 145 could become good tumor markers and provide an important clue in the study of the mechanism of oncogenesis involving miRNAs.
"Here, we show that the miR-17~92 cluster is highly expressed in human endothelial cells and that miR-92a, a component of this cluster, controls the growth of new blood vessels (angiogenesis).","In breast cancer, overexpression of the transmembrane heparan sulfate proteoglycan syndecan-1, a predicted target of the oncomiR miR-10b, correlates with poor clinical outcome."
p27Kip1 Is a Target of miR-221.,"These results reveal a model of regulation during myogenesis whereby the up-regulation of miR-26a acts to post-transcriptionally repress Ezh2, a known suppressor of skeletal muscle cell differentiation."
p27Kip1 Is a Target of miR-222.,"In addition, miR-29c expression was downregulated in a large cohort of HCC patients, and low expression of miR-29c was significantly associated with poor prognosis of HCC patients."
"Fig.3 shows that the presence of miR-221, miR-222, or miR-221 and miR-222  in  tandem  strongly  affected  luciferase  expression ( 50%), measured as relative luciferase activity",The methylation analysis of miR-34a promoter region was performed by MassARRAY.
in  miR156  over-expressing  leaves  the  construct  containing  the  wild-type MRE  yielded  noticeably  lower  levels  of  SPL3  protein,"miRNAs have been shown to play pivotal roles in the establishment and progression of colon cancer, but their underlying mechanisms are not fully understood."
"We found that miR-320 played an important  role  for  the  down-regulation  of  its  target  gene,  CD71  during  reticulocyte  terminal  differentiation.","Functional studies showed that miR-218 overexpression inhibited cell migration and invasion, but had no effect on cell viability."
MiR-196b  was shown to fine-tune the expression of its target gene Hoxb8a after treatment in whole-body homogenates.,PURPOSE: The aim of this study is to search for new therapeutic targets for atypical teratoid-rhabdoid tumors (ATRT).
cyclin G1 is a target of  miR-122a  and  expand  our  knowledge  of  the  molecular alterations involved in HCC pathogenesis and of the role of miRNAs in human cancer.,MiR-106a expression was up-regulated in the DDP resistant cell line SGC7901/DDP compared with its parental line SGC7901.
"MiR-126 alters lung cancer cell phenotype by inhibiting adhesion, migration, and invasion and the effects on invasion may be partially mediated through Crk regulation.",Further researches suggested that inhibitor of growth 4 (ING4) was a direct target of miR-650.
"Three potential target sites for miR-200b and miR-429 were found in the 30UTR of the human othologue of atrophin, RERE (Figure 3B).",These observations led us to examine the antitumorigenic potential of miR-1 in lung cancer cells.
"miR-429 and miR-200b were also able to regulate a luciferase reporter  containing  the  human  RERE  30UTR  (Figures  4E and 4F),","In present study, miRNA profiles between MaSCs and BCSCs were obtained."
"We present evidence for the down-regulation of c-MYC, one of the most potent and frequently deregulated oncogenes, by let-7 miRNA, via the predicted binding site in the 3`UTR, and verify the suppression of BCL-2 by miR16.","Their main target, PTEN mRNA, was significantly up-regulated in early pregnancy loss (relative ratio: 2.6, 95%CI: 0.2-29.8)."
"As expected, the luciferase activity for c-MYC doubleMUT_b.s  showed  a  more  efficient  de-repression,becoming   almost   equal   to   the   control   experiment (98.1%).",The goal of this study is to better clarify the role of miR-320b in tumor growth of CRC.
All four miRNAs displayed an inhibitory effect on Mylip 3`-UTR  (Fig. 5A),"Moreover, we searched the target gene (PIK3R2) of miR-126-3p using bioinformatics software and further verified PIK3R2 using luciferase reporter assays, Real-time quantitative PCR (qRT-PCR) and western blot."
"miR-92-2  efficiently  targeted  Hipk3 3`-UTR,  whereas  miR-106a/miR-20b  and  miR-19b-2  seemed  to have a lower but significant effect","In addition, our data demonstrate that miR-375 suppresses the malignant behavior of PC cells through the Akt signaling pathway rather than mitogen-activated protein kinase (MAPK) signaling pathways."
"Surprisingly, miR-19b-2 seemed to have no  effect  on  Rbp1-like  3`-UTR  despite  the  prediction  of a target  site  (Fig. 4)",Oct4 and Sox2 are transcription factors required for pluripotency during early embryogenesis and for the maintenance of embryonic stem cell (ESC) identity.
"In the case of Rbp1-like, only miR-106a/miR-20b  exerted   a   significant  inhibitory   effect.",Telomeres are specialized nucleoprotein structures that protect chromosomal ends from degradation.
This  could   be correlated  with  the  presence  of  two  target  sites  for  miR-106a/miR-20b in its 3`-UTR (Fig.4),E2F3 was further confirmed to be downregulated at the protein level upon induction of miR-210.
"To further clarify this issue, we investigated the effect of two additional independent miRNA target motifs (Fig.4b) that were found in the 30 UTR of Hairy HES1 mRNA and did not match to homolog HES1 (Fig.5).The mature miR-23 negatively regulates expression of Hairy HES1 gene strongly and homolog HES1 gene weakly.","Moreover, the targeting relationship between CRKL and miR-126 partly reveals the mechanism of miR-126 on GC suppression."
"The results illustrated in Figure 3A and B clearly demonstrated that the miRNA-masking antisense ODNs specifically increased the protein level of HCN2 and HCN4 by ~70 and ~45%, respectively, without affecting the transcript",We also determined that GDF5 was a target of miR-7.
"Altogether, we observed spatially patterned expression of miRNAs from the initiation of zygotic transcription, with a variety of patterns later observed in all three germ layers and in an assortment of differentiating organs.","In conclusion, our study suggests an important role of the MYCN/miR-21/CADM1 axis in chemo-resistance in TC patients and may lead to promising prognostic biomarkers and novel treatment strategies to improve the chemotherapeutic efficacy for TC patients."
"We then proceeded to use this assay to demonstrate that miR-7 negatively regulates all seven GY-box-containing members of the Brd-C and E(spl)-C, including those with single sites [E(spl)m3, E(spl)m_, and Bearded] (Fig.3D–F), those with two sites [E(spl)m4, Tom, Bob] (Fig.3H–J), and those with three sites [E(spl)m5] (Fig.3K).","We used the data from EdU, CASY and cell adhesion assays to show how the expression of miR-155 affects viability and proliferation in SGC-7901 cancer cells."
"As shown in Figure 3G, a Bearded sensor carrying carrying five point mutations in its single GY-box no longer responded to miR-7.",This study evaluated whether miR-214 plays a pivotal role in the development of cardiac hypertrophy and heart failure.
These results suggest that miR23 regulates the expression of Hesl at the posttranscriptional level.,"Besides, the reduction of VEGFR-2 3'-UTR reporter activity by miR-15b in the luciferase reporter gene assay clearly indicated that miR-15b could affect the VEGFR-2 transcript through targeting its 3'-UTR region."
"As expected, the intracellular level of miR-125b was elevated by transfection of miR-125b, and was decreased by the transfection of anti-miR-125b (Fig.2A), showing that the cellular level of miR-125b could be controlled by the transfection of miR-125b and anti-miR-125b in this system.","Currently, down-regulation of tumor suppressive miRNAs by CpG island hypermethylation is emerging as a common hallmark of cancer."
Our findings define a regulation mode of miR-24 on erythropoiesis by impeding ALK4 expression.,The expression of endogenous miR-346 was increased during osteogenic differentiation of hBMSCs.
"In cultured cells, introduction of mir-29c down-regulated these genes at the level of mRNA and inhibited expression of luciferase encoded by vectors having the 3UTRs of these genes.","It is believed that endometrial miRNAs contribute to the aetiology of endometriosis in stem cells; however, the mechanisms remain unclear."
"Moreover, for each of several genes tested, mutating the mir-29c target sites in the 3 UTR abrogated mir-29c-induced inhibition of luciferase expression.","From our in silico analysis, 25 pathways, including the cell cycle, pathways in cancer, DNA replication, and focal adhesion, were significantly regulated by miR-135a in RCC cells."
"This analysis showed that the FL-WT mRNA is translated about 3.5-fold less efficiently than the FL-mut reporter (Supplementary Fig.1a), without differences in mRNA stability (Supplementary Fig.1b).","In conclusion, knockdown of SNHG16 could alleviate LPS-induced apoptosis, autophagy, and inflammation in WI-38 cells partially though the SNHG16/miR-141-3p/SUSD2 pathway."
Mutation of either one of the two seed matches in the 6/7 fragment caused a moderate reduction of the ability of let-7 to suppress luciferase activity.,The C. elegans heterochronic gene pathway consists of a cascade of regulatory genes that are temporally controlled to specify the timing of developmental events.
"When both LCS in the 6/7 fragment were mutated, let-7g could not suppress luciferase activity anymore when compared to the effect on control plasmid (Fig.2E).","Quantitative real-time reverse transcription polymerase chain reaction (qRT-PCR) was used to evaluate the relative expression of marker genes of cardiomyocytes during differentiation, such as cTnT, GATA4 and ANP."
"These data suggest that both distal LCSs in the HMGA2 3'UTR are targets for let-7, in contrast to a recent report (10), and they are sufficient to regulate HMGA2 expression.","Finally, overexpression of ADIPOR1 in the basal-like cell line, MDA-MB-231, attenuated cell invasion and promoted the mesenchymal-to-epithelial transition (MET)."
"By available algorithms that predict miRNA target using a conservation of sequence complementary to the miRNA seed sequence, we next predicted and confirmed that the NFIB mRNA is a target of miR-21.","Our results also imply that new targets that have not been identified by computing analyses have yet to be discovered, even for an extensively studied miRNA such as miR398."
We also demonstrate that the epithelial cell-specific marker LAMB3 is a target of miR-218.,"Both miR-206 sites responded accordingly to exogenous hsa-pre-miR-206 and 2'-O-methyl antagomiR-206, and both sites were rendered inactive by mutations that disrupted hybridization to the 5'-seed of miR-206."
Here we show that PTPRO is a target of E2F1.,Our previous studies have revealed that miR-146a is upregulated in gastric epithelial cells infected with Helicobacter pylori (H. pylori) and in mucosal tissues from H. pylori-positive patients.
The lacZ/lin-41 3'UTR fusion gene was expressed in 79% (n = 14) of let-7 (n2853) adult animals (Fig.4d) but only 19% (n = 21) of wild-type adults.,"Meanwhile, IGF1R inhibition induced autophagy."
Deletion of the let-7 complementary sites from the lin-41 3'UTR resulted in expression of the reporter gene in 77% of wild-type adults (n .30) (Fig.4e).,"Moreover, the 3' UTR of MET, an oncogene that activates tumor cell growth, appeared to be targeted by miR-449c."
These data strongly suggest that the let-7 complementary sites in the lin-41 3'UTR bind to the let-7 regulatory RNA during the L4 and adult stages to mediate downregulation of lin-41 gene activity.,Here we show that IL-22 induces miR-184 in reconstituted human epidermis (RHE) and in the HaCaT keratinocyte cell line.
"Thus, miRNA-guided cleavage events can be detected by RNA ligase-mediated 5_ RACE with untreated RNA extracts followed by sequence analysis of the cloned PCR prod- HCucts.",miR-152 is a promising molecular target that inhibits PCa cell migration and invasion.
"Gene-specific 5_RACEprimers that were predicted to yield products of between_200 and 500 bp, if miRNA- Proguided cleavage occurred in vivo, were designed and used.","In contrast, either miR-3906 overexpression or homer-1b knockdown caused decreases of [Ca(2+)]i and, correspondingly, defective phenotypes in fast muscle."
"Here we demonstrate not only that the lipid phosphatase SHIP2 is a target of miRNA-205 (miR-205) in epithelial cells, but, more importantly, that the corneal epithelial-specific miR-184 can interfere with the ability of miR-205 to suppress SHIP2 levels.","Then, after determining the transfection efficiency by RT-qPCR, we analyzed the effects of miR-34c on the HEC-1-B cells."
"Using computational methods, we first predicted that FUS1 is a target of three miRNAs, miR-93, miR-98, and miR-197, and then showed that exogenous overexpression of these miRNAs inhibited Fus1 protein expression.","The level of miR-155 could influence endogenous c-myc expression in SGC-7901 cells, and may decrease its expression by binding to 3'-UTR of c-myc."
"In this study, we found that RECK is a target of at least three groups of miRNAs (miR-15b/16, miR-21 and miR-372/373); that RECK mutants lacking the target sites for these miRNA show augmented tumor/metastasis-suppressor activities; and that miR-372/373 are upregulated in response to hypoxia through HIF1alpha and TWIST1, whereas miR-21 is upregulated by RAS/ERK signaling.","IGF1R inhibition led to a strinking decrease in phosphorylation of mTOR and Akt, down-regulation of Bcl-2, up-regulation of Bax and cleavage of caspase 3 and PARP."
"miR-126 functioned in part by directly repressing negative regulators of the VEGF pathway, including the Sprouty-related  protein SPRED1 and phosphoinositol-3 kinase regulatory subunit 2 (PIK3R2/p85-b).","Most importantly, miR-646 expression was an independent predictor of ccRCC metastasis by the univariate analysis and binary logistic regression model (both P<0.05)."
MiR-34a expression was markedly reduced in p53-null PC3 cells and p53-mutated DU145 cells compared with LNCaP cells expressing wild-type p53.,We applied gain- and loss-of-function strategies to delineate the functional roles of miR-106b in MB.
"In PC3 cell, ectopic expression of miR-34a decreased the SIRT1 mRNA and protein levels as well as protein levels of known direct target genes.",We found that aberrant expression of epigenetic regulators was a common event in HCC.
"We experimentally confirmed that IMP-1 is a direct let-7 target that promotes cell growth and motility of tumor cells, and we confirmed by proteomics analysis that IMP-1 and HMGA2 are major miRNA targets.","Our results identify IGF-II (insulin-like growth factor 2), a critical regulator of skeletal myogenesis, as a direct and major target of miR-125b in both myocytes and regenerating muscles, revealing for the first time an miRNA mechanism controlling IGF-II expression."
"Here we show that miR398 is positively regulated by sucrose, resulting in decreased CSD1 and CSD2 mRNA and protein accumulation.",Cell cycle arrest in G2/M phase and an increased DNA repair response were observed in IR-exposed miR-15b/16-2 stable cells.
The translational repression of NFIB mRNA by miR-21 accelerates clearance of NFIB in parallel with the simultaneous miR-21-independent transcriptional repression of NFIB after PMA stimulation.,"Furthermore, miR-125a-5p mimic alone or in combination with trastuzumab could be a novel therapeutic approach against gastric cancer."
H460-sensitive cells treated with -221 and -222 pre-miRs become resistant to TRAIL.,"Recently, it was found that follicular atresia is triggered by granulosa cell apoptosis, but the molecular mechanism of follicular atresia was not understood."
"The  histogram  in  Fig. 4A  shows  reduction  in luciferase activities of 30% and 17%, after transfection of 3  WT trkC  along  with  the  single  plasmids  expressing  miR-9  (9)  or miR-125a  and  -125b","Ectopic expression of let-7b suppressed the growth, migration, invasion, and tumorigenicity of GC cells, whereas let-7b knockdown promoted these phenotypes."
Expression of a luciferase construct containing the target site in Sufu was repressed when cotransfected with miR-378,"Furthermore, we identified miR-20a directly targets the ABL family non-receptor tyrosine kinases ABL2 and negatively regulates the phosphorylation of its downstream gene p190RhoGAP."
Expression of luciferase constructs harboring the target sites in Fus-1 was repressed by miR-378.,"The targets of miR-200 include ERRFI-1, which is a novel regulator of EGFR-independent growth."
"Each of the reporters was cotransfected with BART3-5p, 16, 17-5p, or 1-5p miRNA miR-BART3-5p failed to suppress the luciferase activity of its target reporters (tL7 and tL2) (Fig.2C), whereas the other three BART miRNAs significantly reduced the luciferase activity of their LMP1 target reporters",This study aimed to further explore the regulatory mechanism of miR-224 in the migration and invasion in liver cancer cells.
a region of the C. elegans lin-41 3`UTR containing two conserved LCSs separated by a 27-nt spacer was observed to be sufficient to down-regulate C. elegans LIN-41,"Restoration of miR-1 suppressed not only proliferation, but also migratory and invasive activities, and reduced the Slug expression in chordoma cells."
miR-210 inhibits EFNA3 expression directly.,We demonstrated that ERalpha negatively modulates miR-221 and -222 through the recruitment of transcriptional corepressor partners: nuclear receptor corepressor and silencing mediator of retinoic acid and thyroid hormone receptor.
We determined that one relevant target of miR-210 in hypoxia was Ephrin-A3 since miR-210 was necessary and sufficient to down-modulate its expression.,Reduced KLF9 expression promoted glioma cell proliferation.
"Moreover, luciferase reporter assays showed that Ephrin-A3 was a direct target of miR-210.","Using primary neurons and PC12 cells, we demonstrate that miR-132/212 controls cell survival by direct regulation of PTEN, FOXO3a and P300, which are all key elements of AKT signaling pathway."
"Because miR-21 was not detected in mouse uterus during pseudopregnancy and under delayed implantation, miR-21 expression at implantation sites was regulated by active blastocysts.","Antisense-miR-21-treated cells showed a decreased expression of EGFR, activated Akt, cyclin D, and Bcl-2."
"Furthermore, we showed that Reck was the target gene of miR-21.","microRNA-125b (miR-125b) was implicated to have close relationship with cell proliferation and differentiation, and downregulation of miR-125b was observed in various types of cancers."
Our data suggest that miR-21 may play a key role during embryo implantation.,Preventing rarefaction by activation of angiogenic processes could lower blood pressure.
HOXD10 is a direct and functional target of miR-10b,This mechanism consists of an initial phase of synapse elimination followed by a reinforcing phase of synaptic downscaling.
"In F9 cells, the degree of repression corresponded to the number of intact sites and depended on cotransfection of the let-7 miRNA, whereas cotransfection  of  an  unrelated  miRNA  had little effect (miR-124, Fig.2B).",We found 116 miRNA up-regulated and 62 miRNA down-regulated in GSCs.
"The repres-sion profile inverted when the let-7 miRNA was replaced with a mutant miRNA, mlet-7 (Fig.2B), which was designed to recognize the mutant sites instead of the wild-type sites (Fig.2A).","Moreover, exosomal miR-106b-3p promoted lung metastasis of CRC cells in vivo."
"Among experimentally confirmed targets, we found that the transcriptional coactivator MED1, which plays an important role in placental development, is a target for miR-205.","However, the underlying mechanisms involved in the modulation of invasion and migration by miR-99a remain elusive."
"In cells with 829C->T SNP,miR-24  mediated  regulation  may  be  lost,  a  result  of  impaired binding of miRNA to the region, leading to enhanced mRNA stability in mutant clones.","To determine if liganded PR regulate microRNAs (miRNAs) as a component of their action, we profiled mature miRNA levels following progestin treatment."
"Using reporter silencing assays, we show that hsa-miR-155 down-regulates the expression of only the 1166A, and not the 1166C,allele of rs5186","These changes were associated with reduced apoptosis, detected by FACS analysis of annexin-V expression and TUNEL assay, in response to H/R injury."
Both let-7d and let-7g caused significant repression of luciferase activity of full-length 3`UTR as well as the 6/7 fragment,"However, additional strategies for early detection and tumor-based therapy are still essential in improving patient outcomes."
Coexpression with miR-315 resulted in  2-fold repression of both Axin and Notum sensors (Fig.4 B and C).,Dysregulation of microRNAs (miRNAs) occurs frequently in cervical carcinogenesis.
We also assayed truncated sensors consisting of 3  UTR segments bounded by the miR-315 sites  in  each  target  and  found  that  they  recapitulated  the quantitative repression by miR-315 mediated by their full-length counterparts.,Our finding provides evidence that miR-181a functions as a primary autophagy-related modulator and reverses cisplatin-resistance in GC cells.
"Finally, we introduced two point mutations into each  of  the  miR-315  seed  matches  of  the  Axin  and  Notum sensors.","In this study, we investigated the expression of CDX1 and its functional roles in GC, and its upstream regulatory mechanisms at the microRNA (miRNA) level were further explored."
These specific mutations abolished the response of these sensors to miR-315,"Introducing HPV16 whole genome in HPV-negative OSCC increased malignant growth and self-renewal capacity, a key characteristic of cancer stem cells (CSCs)."
"deletion of site 1 only had no effect on luciferase expression (Fig.4B), demonstrating  that  seed  match  sites  2,  3,  and  4  within  the BACH-1 3 UTR are likely targeted.","We also found that expression of miR-101 is induced by multiple TLR ligands, including LPS, peptidoglycan, or polyinosinic-polycytidylic acid, and that inhibition of PI3K/Akt by LY294002 or Akt RNA interference blocks the induction of miR-101 by LPS in RAW264.7 macrophage cells."
Mef2c is a functional miR-223 target in myeloid progenitors.,miR-1234 and STAT3 might be involved in the tumorigenesis of DLBCL of ABC type and possibly associated with environmental background exposure.
"We show that Mef2c, a transcription factor that promotes myeloid progenitor proliferation, is a target of miR-223.",Our analysis of 27 melanoma cell lines showed no correlation between AP2 and c-kit expression.
Luciferase reporter assays using the 3' UTR of Igf1r demonstrated a miR-223-specific regulation of Igf1r expression (Supplementary Fig.10).,"MicroRNAs (miRNA) are non-coding RNAs, approximately 22 nucleotides in length, which function as post-transcriptional regulators."
"Additionally, western blot analysis demonstrated significantly upregulated levels of Igf1r protein in purified mutant neutrophils (Supplementary Fig.10).","Taken together, we propose that CREB promotes gliomagenesis and acts as a modulator of oncogenic mir-23a, which represses the tumor suppressor PTEN."
"Luciferase reporter assays using the 3' UTR of Mef2c demonstrated a miR-223-specific regulation of reporter gene expression (Fig.3a, b).","miRNA-21 overexpression was frequently detected in gastric cancers (31 of 46, 67.4%), and there was a significant inverse correlation between miRNA-21 and PDCD4 protein expression (P = 0.029), but not between miRNA-21 and PDCD4 mRNA expression."
"This downregulation was specific to the predicted miR-223 target sites, as mutation of the 3'UTR seed match sequences relieved the inhibitory activity of miR-223 (Fig.3a, b).",Iron homeostasis is essential for the body to maintain normal physiological functions.
Experimental validation revealed that miR-22 regulated PPARA and BMP7 expression and its inhibition blocked inflammatory and catabolic changes in osteoarthritic chondrocytes.,This work provides evidence that targeting of Arpc3 by miR-29a/b fine tunes structural plasticity by regulating actin network branching in mature and developing spines.
These results indicate that both the miRs interfere with CDKN1B translation via direct interaction with the 3`-UTR,"Currently, the clinical therapy options for GC remain limited."
"NNK treatment in rats repressed miR-126  but induced CYP2A3 expression, a mechanism that may potentiate the oncogenic effects of NNK.","Taken together, our findings revealed that miR-155-5p downregulation induces BM-MSC to acquire a GC-MSC-like phenotype and function depending on NF-κB p65 activation, which suggests a novel mechanism underlying the cancer associated MSC remodeling in the tumor microenvironment and offers an effective target and approach for gastric cancer therapy."
"miR-96 or miR-182 down-regulated luciferase activity by  75% ( 2%) and 61% ( 7%), respectively (Fig.7C).","Among 123 primary and metastatic melanoma tumors and 12 normal skin samples, RUNX3 expression was significantly down-regulated in primary melanomas (n = 82; P = 0.02) and in melanoma metastasis (n = 41; P < 0.0001) versus normal skin (n = 12)."
Co-transfection  with  miR-96  plus  miR-182  had  the  same  effect  as miR-96 alone (74   4% inhibition).,miRNAs modulate gene expression by affecting mRNA translation or stability.
These results strongly support the prediction of Adcy6 as a direct target of miR-96 and miR-182.,"Hsa-miR-608 was filtered over cross-comparison between database screening, miRNA microarray and validated."
"Target prediction and in vitro functional studies showed that MITF, a transcription factor required for the establishment and maintenance of retinal pigmented epithelium, is a direct target of miR-96 and miR-182",Mir-208 has been shown to act as a biomarker of acute myocardial infarction in vivo studies including man.
"We identified single target sites for miR-1 only, in the 3 -untranslated regions of the HSP60 and  HSP70  genes,  and  multiple  putative  target  sites  for miR-133 throughout  the  sequence  of  the  caspase-9  gene  MT miR-1 or MT miR-133 had no effect on  the  WT  target  sequences,  but  could  efficiently  repress luciferase  activities  with  the  constructs  containing  the  MT 3 UTRs of HSP60 or HSP70 complementary to MT miR-1.","Stable overexpression of miR-492 in HB cell clones served to identify a broad range of differentially expressed transcripts, including several candidate targets of miR-492 predicted by computational algorithms."
Transfection of AMO-1 into the cells eliminated the silencing effects of miR-1 on the activities of the wild-type GJA1- or KCNJ2-luciferase chimeric vector and target sequences.,"BACKGROUND: The development of metastases involves the dissociation of cells from the primary tumor to penetrate the basement membrane, invade and then exit the vasculature to seed, and colonize distant tissues."
"On the other hand,mutant miR-1 suppressed translation of luciferase transcripts containing the complementary mutant GJA1 or KCNJ2 3'-UTR.","In the present study, we completed a series of experiments to understand the functional role of miR-124 in CaP."
